metadata.features.title	Features — Free POS, Inventory & Online Store
home.analyticsShowcase.feature3.description	Know exactly which channels — Facebook, Instagram, WhatsApp, walk-in — drive the most revenue and orders.
home.productShowcase.eyebrow	NO. 03 — SEE IT IN ACTION
home.ticker.lines[0]	09:14 — 2× Espresso — EGP 90 — PAID
home.ticker.lines[1]	09:31 — Order #1042 shipped — Cairo
home.ticker.lines[2]	09:48 — Stock alert — Blue T-shirt (M) — 3 left
home.ticker.lines[3]	10:15 — New customer — Sara A.
home.ticker.lines[4]	10:40 — 1× Leather wallet — EGP 450 — PAID
home.ticker.lines[5]	11:05 — Shift opened — Register 2
home.ticker.lines[6]	11:22 — Refund approved — Order #0997
home.ticker.lines[7]	11:48 — 3× Notebook — EGP 120 — PAID
home.ticker.lines[8]	12:03 — Stock transfer — Downtown to Mall branch
home.ticker.lines[9]	12:30 — Daily target reached — EGP 5,000
home.endOfDay.eyebrow	NO. 05 — END OF DAY
home.faq.eyebrow	NO. 07 — QUESTIONS
home.faq.q2.answer	Yes — a full free POS: sales screen, cash register, shifts, and receipts in Arabic and English.
home.faq.q4.answer	No — sign up with your email and phone number only.
home.faq.q6.answer	Yes — keep selling offline and everything syncs when you're back online.
home.testimonials.eyebrow	NO. 06 — FROM THE COUNTER
home.testimonials.subtitle	From the register to the online store — the parts of the day it takes over.
home.testimonials.items.t1.quote	I stopped writing orders in a notebook. The register, the stock, and who owes me what — all in one screen.
home.testimonials.items.t1.author	Minimarket owner — Cairo
home.testimonials.items.t2.author	Clothing boutique owner — Alexandria
home.testimonials.items.t3.quote	The Arabic isn't a bolted-on translation. Receipts, dashboard, storefront — everything reads right.
home.testimonials.items.t3.author	Cafe owner — Giza
pricing.faq.q5.answer	Yes. Cashvio includes a free POS (cashier) on the free forever plan — sales screen, cash register, shifts, and receipts. No credit card required. See our Free POS page for details.
pricing.faq.q6.answer	Yes. You can create a free online store synced with your free POS — no commission and no monthly fee on the free plan. See our Free Online Store page for details.
pricing.matrix.subtitle	The free plan is a complete system. Paid plans raise the limits as you grow — exact numbers are on each plan card above.
pricing.whatsapp.subtitle	Message us on WhatsApp — we'll help you pick the right plan in minutes.
alsoFree.subtitle	Start with a free POS and a free online store — no credit card required.
contact.info.whatsappDescription	The fastest way to reach us — questions, demos, or help getting set up.
privacy.sections.scope.content	The Services are operated by Cashvio Technologies ("Cashvio", "we", "us", or "our"), headquartered in Cairo, Egypt.\n\nWe act in two distinct roles. For the personal information of merchants, their staff, and visitors to our own websites, we are the data controller — we decide how and why that information is processed. For the information that merchants store about their own customers (such as customer profiles and purchase history), we act as a data processor — we process it only on the merchant's behalf and instructions, as described in the section "Your Customers' Data" below.
privacy.sections.collection.items[0]	Account information — your name, email address, phone number, password (stored only in hashed form), preferred language, and profile settings.
privacy.sections.collection.items[1]	Business information — your business name, store names and addresses, business type, tax and registration details, logo and branding assets.
privacy.sections.collection.items[2]	Transaction and operations data — orders, invoices, receipts, refunds, payment methods used, product catalogs, inventory movements, shift records, and reports generated from them.
privacy.sections.collection.items[3]	Billing information — the subscription plan you choose and billing history. Card payments are processed by licensed payment providers; we never store full card numbers on our servers.
privacy.sections.collection.items[4]	Customer records you create — information about your own customers that you enter into the platform, such as their names, contact details, purchase history, balances, and store credit.
privacy.sections.collection.items[5]	Device and usage data — IP address, browser and device type, operating system, pages visited, features used, referral URLs, timestamps, and crash or error diagnostics.
privacy.sections.collection.items[6]	Cookies and similar technologies — as described in the "Cookies and Analytics" section below.
privacy.sections.collection.items[7]	Communications — messages, support requests, feedback, and recordings of support conversations where permitted by law.
privacy.sections.usage.items[0]	Provide and operate the Services — creating your account, running your point of sale and storefront, processing orders, and syncing your data across devices.
privacy.sections.usage.items[1]	Secure the platform — authenticating logins, enforcing permissions, detecting and preventing fraud, abuse, and unauthorized access.
privacy.sections.usage.items[2]	Support you — responding to your questions, troubleshooting problems, and notifying you about incidents that affect your account.
privacy.sections.usage.items[3]	Improve and develop — analyzing aggregated usage patterns to fix issues, improve performance, and build new features.
privacy.sections.usage.items[4]	Communicate — sending service announcements, security alerts, billing notices, and (with your consent or where permitted) product news and offers you can opt out of at any time.
privacy.sections.usage.items[5]	Comply with the law — meeting our accounting, tax, and other legal obligations, and responding to lawful requests from authorities.
privacy.sections.usage.footer	We do not use your business data — such as your sales figures, margins, or customer lists — to compete with you, and we never sell it to third parties.
privacy.sections.customerData.content	When you record information about your own customers in Cashvio — for example a customer profile, order history, or store credit balance — you are the data controller of that information and we process it strictly on your behalf.\n\nWe process such data only to provide the Services to you, never for our own marketing, and we do not contact your customers except as needed to deliver features you actively use (such as sending a digital receipt at your request). You are responsible for collecting your customers' data lawfully, informing them about how it is used, and honoring their privacy requests. If a customer contacts us directly about data you control, we will refer them to you and provide reasonable assistance.
privacy.sections.sharing.items[0]	Service providers — companies that help us run the platform, such as cloud hosting, payment processing, email and SMS delivery, push notifications, and analytics. They may only use the data to provide their service to us and are bound by contractual confidentiality and data-protection obligations.
privacy.sections.sharing.items[1]	Payment providers — when you or your customers make a payment, the transaction details are shared with the licensed payment provider handling it.
privacy.sections.sharing.items[2]	Legal requirements — when required by applicable law, regulation, legal process, or an enforceable governmental request, and only to the extent required.
privacy.sections.sharing.items[3]	Protecting rights and safety — to enforce our terms, investigate fraud or security issues, or protect the rights, property, or safety of Cashvio, our merchants, or the public.
privacy.sections.sharing.items[4]	Business transfers — if Cashvio is involved in a merger, acquisition, or sale of assets, your information may be transferred as part of that transaction. We will notify you before your data becomes subject to a different privacy policy.
privacy.sections.sharing.items[5]	Aggregated or anonymized data — we may share statistics that cannot reasonably be used to identify you or your customers.
privacy.sections.security.items[1]	Passwords stored using strong one-way hashing — we can never read your password.
privacy.sections.rights.items[0]	Access — request a copy of the personal information we hold about you.
privacy.sections.rights.items[1]	Correction — ask us to fix inaccurate or incomplete information.
privacy.sections.rights.items[2]	Deletion — ask us to delete your personal information, subject to legal retention requirements.
privacy.sections.rights.items[3]	Portability — receive your data in a structured, commonly used, machine-readable format.
privacy.sections.rights.items[4]	Objection and restriction — object to or ask us to limit certain processing.
privacy.sections.rights.items[5]	Withdraw consent — where processing is based on consent, withdraw it at any time without affecting prior processing.
privacy.sections.rights.items[6]	Complain — lodge a complaint with your local data-protection authority.
terms.sections.eligibility.content	To use the Services you must be at least 18 years old, capable of entering into a binding contract, and using the Services for business purposes. When you register, you agree to provide accurate, current, and complete information and to keep it up to date. We may refuse registration, or reclaim usernames or subdomains, where reasonably necessary — for example, where information is false, infringes the rights of others, or is reserved for platform use.
terms.sections.services.items[0]	Change the free plan — add, change, limit, or remove any feature or capacity included in the free plan at any time, at our sole discretion and without compensation.
terms.sections.services.items[1]	Temporarily suspend features on any plan — suspend, hold, limit, or disable any feature on any plan, free or paid, where reasonably necessary — for example to resolve technical issues, perform maintenance, roll out enhancements or upgrades, or protect the security and stability of the platform. We will work to restore availability promptly and, where practicable, announce planned work in advance.
terms.sections.services.items[2]	Add free features — add new features or capacity to existing free or paid plans at no extra charge. Such additions do not change your fees, do not entitle you to a refund, and may later be modified, moved to a different plan tier, or withdrawn.
terms.sections.accounts.items[0]	Use strong passwords and keep credentials confidential — never share accounts between individuals.
terms.sections.yourData.content	You own your business data — your products, orders, customer records, reports, and other content you create in or upload to the Services ("Merchant Data"). You grant us a limited, non-exclusive license to host, process, transmit, back up, and display Merchant Data solely as necessary to provide and protect the Services.\n\nWe maintain regular backups and take the security measures described in our Privacy Policy. You can export your data through the tools we provide. Following termination of your account, we will make your Merchant Data available for export for at least 30 days, after which we may delete it, except where retention is required by law.
terms.sections.ip.content	The Services — including all software, design, trademarks, logos, and documentation — are owned by Cashvio or its licensors and are protected by intellectual property laws. These Terms do not grant you any rights in the Services other than the limited right to use them in accordance with these Terms.\n\nIf you send us feedback, ideas, or suggestions, you grant us a perpetual, irrevocable, royalty-free license to use them without restriction or compensation — we may use your feedback to improve the Services for everyone.
terms.sections.availability.content	We work hard to keep the Services available around the clock and design our infrastructure for high availability. However, the Services may occasionally be interrupted — for scheduled maintenance (which we will endeavor to announce in advance), emergency fixes, or causes beyond our reasonable control such as failures of hosting, telecommunications, or power providers.\n\nWe provide support through the channels published on our website. We do not guarantee uninterrupted or error-free operation, and you should maintain appropriate business practices (such as reviewing your reports and reconciling transactions) independent of the platform.
terms.sections.termination.content	You may stop using the Services and close your account at any time.\n\nWe may suspend or terminate your access to the Services if you materially breach these Terms, if your use creates a security risk or legal exposure for us or others, if required by law, or if your account remains unpaid after reasonable notice. Where practicable, we will notify you and give you an opportunity to remedy the issue before termination.\n\nUpon termination: your right to use the Services ceases; fees owed remain payable; and the data export window described in "Your Data and Ownership" applies. Sections of these Terms that by their nature should survive termination — including ownership, disclaimers, limitation of liability, and governing law — will survive.
features.categories.capacity.description	Grow your business without constraints — scale as you need
features.solutions.inventoryManagement.description	Track every product variant in every store in real time. Low stock alerts, purchase orders, supplier management, and a full audit trail — free forever.
features.solutions.freeOnlineStore.description	Create a free online store synced with your shop — no commission, no monthly fee.
features.solutions.orderManagement.description	Every order from the counter, the website, and the phone in one list — with statuses, payments, and WhatsApp updates.
features.solutions.customerManagement.description	Profiles with visits, spending, store credit, addresses, and full order history — starting from just a phone number.
features.solutions.salesAnalytics.description	Revenue, profit, best sellers, peak hours, and staff performance — with recommendations in plain words.
features.solutions.multiStoreManagement.description	Separate stock, prices, and settings per branch — one dashboard, stock transfers, and per-store reports.
features.solutions.teamManagement.description	A login for every employee with exactly the access their job needs — and a record of who did what.
features.screenshot.caption	Live view — dashboard
features.sectionShots.modules.caption	Live view — product catalog
features.sectionShots.solutions.caption	Live view — POS on web
features.sectionShots.solutions.companionCaption	Live view — POS on mobile
features.sectionShots.operations.caption	Live view — inventory on web
features.sectionShots.operations.companionCaption	Live view — inventory on mobile
features.sectionShots.functional.caption	Live view — analytics
features.sectionShots.capacity.caption	Live view — stores
couponsAndDiscounts.features.subtitle	A complete coupon engine built into your retail and e-commerce workflow — no third-party tools, no spreadsheets, no guesswork.
couponsAndDiscounts.features.items.minimumCart.description	Require a minimum order subtotal before a coupon can be applied. Use this to increase average order value — for example, offer 15% off on orders above 300.
couponsAndDiscounts.howItWorks.subtitle	Three steps from idea to live promotion — no technical knowledge required.
couponsAndDiscounts.omnichannel.storefront.description	Customers enter coupon codes in the checkout form on your online store. Validation happens in real time — the order summary updates instantly to reflect the discount. If a code is invalid, expired, or exceeds its limit, the customer sees a clear message explaining why.
couponsAndDiscounts.omnichannel.portal.description	When your team creates orders manually through the business portal — for phone orders, WhatsApp requests, or social media sales — they can apply coupon codes in the Order Summary section. The same validation engine runs here: store match, usage limits, cart minimums, and validity dates.
couponsAndDiscounts.strategies.items.newCustomer.description	Give new customers 10-15% off their first order. Set the per-customer limit to 1 so each buyer can only use it once. No expiry date needed — let it run as an evergreen acquisition tool.
couponsAndDiscounts.strategies.items.loyalty.description	Reward returning customers with an exclusive code. Set per-customer usage to 3 so they can benefit multiple times. No total cap — let your loyal customers keep coming back.
couponsAndDiscounts.faq.items.q7.answer	The coupon automatically becomes unusable — customers who try to apply it will see an error. The coupon stays visible in your list so you can view its history or increase the limit.
couponsAndDiscounts.cta.description	Create your first coupon in under 60 seconds. No credit card required — the free plan includes full coupon management.
couponsAndDiscounts.screenshot.caption	Live view — discount impact in analytics
arabicPos.hero.subtitle	Stop settling for tools that treat Arabic as an afterthought. Cashvio delivers a true right-to-left experience across your point of sale, online store, receipts, and reports — not a translation layer bolted on top.
arabicPos.problem.painPoints.noLocalPayments.description	Global platforms prioritize Stripe and PayPal while ignoring the payment methods your customers actually use — Mada, KNET, Tabby, Tamara, and local bank transfers.
arabicPos.solution.subtitle	Every screen, every button, every receipt was designed to work natively in Arabic from day one. When you switch to Arabic, the entire experience transforms — not just the text.
arabicPos.solution.points.mirroredInterface.description	Every element — navigation, data tables, form fields, action buttons — repositions naturally for right-to-left reading. No visual glitches, no misaligned layouts. Your staff see the system exactly as it was designed to be seen.
arabicPos.solution.points.arabicTypography.description	We use premium Arabic typefaces optimized for screen readability. Connected letters flow naturally, diacritics display correctly, and long text stays legible at every size — from receipt print to dashboard headline.
arabicPos.pos.title	A POS That Speaks Your Language — Literally
arabicPos.pos.features.receipts.description	Generate receipts with Arabic product names, properly formatted prices, and your store branding — all in one clean layout. Add English as a second language on the same receipt for international customers.
arabicPos.pos.features.shifts.description	Staff clock in, take breaks, and close registers with fully Arabic screens. Shift reports show earnings, transaction counts, and cash summaries — all formatted for Arabic readers.
arabicPos.pos.features.hardware.description	Connect thermal printers that support Arabic character sets. Print clear, properly formatted receipts directly from the POS — no garbled text, no missing characters.
arabicPos.storefront.subtitle	Your storefront is not just translated — it is rebuilt for Arabic shoppers. Product pages, cart, checkout, and order tracking all follow the natural right-to-left flow that your customers expect.
arabicPos.storefront.features.rtlShopping.description	Product grids, category navigation, filters, and sorting — every element is positioned where Arabic readers naturally look. Conversion rates improve because shoppers feel at home.
arabicPos.regions.subtitle	Whether you operate in Riyadh, Dubai, Cairo, or Kuwait City — Cashvio adapts to your local regulations, payment preferences, and business culture.
arabicPos.faq.q1.answer	Cashvio is built natively for Arabic-speaking businesses with a true right-to-left interface, bilingual receipt printing, ZATCA e-invoicing compliance for Saudi Arabia, and integration with MENA payment methods like Mada, KNET, Tabby, and Tamara. Unlike global platforms that bolt on Arabic as a translation layer, Cashvio's entire interface — from checkout to analytics — was designed for Arabic from day one.
arabicPos.faq.q5.answer	Global platforms like Shopify treat Arabic as an add-on through third-party translation apps, which results in broken layouts, misaligned elements, and poor Arabic SEO. Cashvio's storefront is architecturally built for right-to-left presentation — product grids, checkout flows, navigation, and all interactive elements mirror correctly. Arabic SEO is native with proper URL slugs, meta tags, and structured data in Arabic.
arabicPos.cta.title	Ready to Sell in Arabic — the Right Way?
arabicPos.screenshot.caption	Live view — Arabic POS on web
arabicPos.screenshot.companionCaption	Live view — Arabic POS on mobile
omnichannelRetail.hero.subtitle	Stop juggling separate systems for in-store and online sales. Cashvio gives you a single command center where inventory, orders, customers, and analytics are unified across every channel — physical stores, online storefront, social media, and more.
omnichannelRetail.problem.painPoints.doubleEntry.description	Every product update, price change, and stock adjustment has to be entered twice — once in your POS and once in your e-commerce platform. Errors multiply with every manual entry.
omnichannelRetail.solution.subtitle	Cashvio was built from day one as a unified platform — not separate products stitched together. Your physical stores and online storefront share the same inventory, the same customers, and the same brain.
omnichannelRetail.solution.points.unifiedCustomer.description	Every purchase — whether at the register, on the website, or via WhatsApp — ties to a single customer profile. See their total spending, store credit, visit history, and preferences in one view.
omnichannelRetail.solution.points.realTimeSync.description	Changes propagate instantly. Update a product price, add a new variant, or adjust stock — it reflects everywhere within seconds. No waiting for overnight sync jobs.
omnichannelRetail.channels.items.onlineStorefront.highlight	Built-in storefront — no third-party needed
omnichannelRetail.inventory.features.realTimeStock.description	Every sale, every return, every stock transfer updates your inventory count immediately. What you see is what you have — across all locations and all channels.
omnichannelRetail.inventory.features.multiStoreTransfers.description	Move stock between locations with tracked transfer requests. The sending store's count drops and the receiving store's count rises — automatically and instantly.
omnichannelRetail.inventory.features.lowStockAlerts.description	Set custom reorder points per product per location. Get notified before you run out — not after. Never miss a sale because an item went out of stock unnoticed.
omnichannelRetail.orders.title	Every Order in One Queue — From Any Channel
omnichannelRetail.orders.subtitle	POS sale, website checkout, WhatsApp message, or phone call — every order enters the same pipeline with the same fulfillment workflow.
omnichannelRetail.analytics.title	See the Complete Picture — Not Channel Fragments
omnichannelRetail.analytics.features.unifiedProfitTracking.description	Track cost prices, selling prices, discounts, and fees across channels. Understand your real margins — not what each silo reports independently.
omnichannelRetail.faq.q1.answer	Omnichannel means your customers get a seamless experience whether they shop in your physical store, on your website, or through social media. Behind the scenes, Cashvio unifies your inventory, orders, customer data, and analytics into one platform — so you manage everything from a single dashboard instead of juggling separate systems.
omnichannelRetail.faq.q3.answer	Yes. Cashvio supports cross-channel returns. A customer who bought online can return the item at any of your physical stores. The inventory restocks automatically, and refunds route to the original payment method — all tracked in one system.
omnichannelRetail.faq.q4.answer	No. Cashvio includes a built-in online storefront as part of the platform. You get product pages, a shopping cart, checkout, and order tracking — all connected to the same inventory and customer database as your POS. No third-party e-commerce subscription needed.
omnichannelRetail.faq.q7.answer	Yes. You maintain one product catalog with a base price. If you need different pricing per store location, you can set per-store price overrides. Any price change you make updates everywhere instantly — no need to manually update multiple systems.
omnichannelRetail.cta.subtitle	Stop managing separate systems. Start selling everywhere from one dashboard — free.
omnichannelRetail.screenshot.caption	Live view — omnichannel orders
omnichannelRetail.screenshot.companionCaption	Live view — orders on mobile
inventoryManagement.hero.subtitle	Track every product, every variant, across every store — in real time. Cashvio gives you per-variant, per-store inventory tracking, low stock alerts, purchase orders, supplier management, and a full audit trail. No spreadsheets, no guesswork, no monthly fee.
inventoryManagement.hero.cta	Start Free — No Credit Card
inventoryManagement.problem.painPoints.manualCounting.description	Counting stock by hand leads to mistakes. One miscount and your records are wrong for weeks — you only discover the error when a customer orders something you do not actually have.
inventoryManagement.solution.points.perVariantTracking.description	Every product variant — size, color, material — has its own stock count in each store. You know exactly how many "Medium / Blue" T-shirts are in your Downtown branch right now.
inventoryManagement.solution.points.fullAuditTrail.description	Every stock change is logged — who made the adjustment, what quantity, when it happened, and the reason. You can trace any discrepancy back to its source.
inventoryManagement.coreFeatures.subtitle	From barcode scanning to bulk adjustments, Cashvio covers every inventory operation your business needs — all included in the free plan.
inventoryManagement.coreFeatures.features.stockTracking.description	View current stock for every product variant in every store. Filter by store, search by product name or SKU, and see stock status at a glance — In Stock, Low Stock, or Out of Stock.
inventoryManagement.coreFeatures.features.transfers.description	Move stock between locations with tracked transfer requests. The sending store's count drops and the receiving store's count rises — automatically and instantly.
inventoryManagement.coreFeatures.features.bulkOperations.description	Adjust hundreds of stock levels at once. Record shrinkage, damage, or receiving in bulk — with full audit trails showing who changed what and when.
inventoryManagement.coreFeatures.features.optionalTracking.description	Not every product needs inventory tracking. Toggle tracking on or off per product. Items with tracking disabled are treated as always in stock — perfect for services or made-to-order items.
inventoryManagement.purchaseOrders.title	Restock Smarter — From Low Stock Alert to Shelf
inventoryManagement.purchaseOrders.subtitle	See which products are running low, create a purchase order to your supplier, and receive the stock — all in one system. Your inventory updates the moment products arrive.
inventoryManagement.purchaseOrders.features.trackStatus.description	Every purchase order moves through clear stages — Draft, Pending, Approved, Received, or Cancelled. Filter by store, supplier, status, or date to find any PO instantly.
inventoryManagement.purchaseOrders.features.receiveStock.description	When products arrive, open the purchase order and click Receive Stock. Confirm the quantities and your store inventory updates immediately — no manual stock adjustment needed.
inventoryManagement.purchaseOrders.features.supplierManagement.description	Keep all your supplier records in one place — company name, contact person, email, phone, address, tax ID, and payment terms. See every purchase order per supplier with full payment history.
inventoryManagement.multiStore.features.independentStock.description	Each store maintains its own stock count for every product variant. Your Downtown branch can have 20 units of a product while your Mall location has 5 — each managed separately.
inventoryManagement.multiStore.features.storePricing.description	Set different selling prices for different stores. Your airport location can charge differently from your warehouse outlet — all from the same product catalog.
inventoryManagement.comparison.subtitle	See what you gain by switching from manual tracking to a real inventory management system — at no cost.
inventoryManagement.comparison.rows.variantTracking.cashvio	Automatic — each size, color, variant tracked separately
inventoryManagement.comparison.rows.alerts.others	None — you discover stockouts at checkout
inventoryManagement.comparison.rows.auditTrail.cashvio	Every change logged — who, what, when, why
inventoryManagement.comparison.rows.auditTrail.others	No history — cell was overwritten
inventoryManagement.comparison.rows.cost.cashvio	Free forever — no per-user or per-store fees
inventoryManagement.faq.q2.answer	Every product can have variants based on options like size, color, or material. Each variant gets its own stock count in each store. For example, if you sell a T-shirt in sizes S, M, L across two stores, that is 6 separate stock counts — each tracked independently and updated automatically.
inventoryManagement.faq.q3.answer	Stock decreases automatically when an order is completed. If the order is cancelled, stock is restored. If a customer returns an item and the return is approved, stock increases — unless the item is marked as damaged or non-restockable. No manual adjustment is needed for routine transactions.
inventoryManagement.faq.q6.answer	No. Inventory tracking is optional per product. Products with tracking disabled are treated as always in stock — perfect for services, made-to-order items, or digital products. You choose which products need stock tracking.
inventoryManagement.faq.q8.answer	Yes. If you use Cashvio's built-in online storefront, inventory is the same system. When stock changes — whether from a POS sale, an online order, or a manual adjustment — the available quantity updates everywhere instantly. There is no separate sync process.
inventoryManagement.cta.title	Start Managing Inventory for Free — Today
inventoryManagement.screenshot.caption	Live view — inventory
inventoryManagement.screenshot.companionCaption	Live view — inventory on mobile
freePos.hero.subtitle	Get a complete cashier program for your shop — sales screen, cash register, shifts, receipts, and live inventory. 100% free plan, no trial period, no credit card.
freePos.hero.cta	Start Free — No Credit Card
freePos.hero.trust	A real free plan — not a 14-day trial
freePos.problem.painPoints.internetOnly.description	If the internet drops, the register stops — and you lose sales while customers wait.
freePos.solution.subtitle	Everything you need to sell in your shop is in the free plan — and it stays free.
freePos.solution.points.fastSetup.description	Sign up, add products, and sell. Works on any computer, tablet, or phone — no special hardware.
freePos.features.items.receipts.description	Print thermal receipts or send a digital receipt link — in Arabic or English.
freePos.features.items.reports.description	See today's sales, best products, and profit — from your phone.
freePos.comparison.rows.price.cashvio	0 — free forever
freePos.faq.q1.answer	Yes. The free plan is free forever — cashier screen, receipts, inventory, and reports included. You only pay if you need advanced features or higher limits.
freePos.faq.q5.answer	Yes — full Arabic interface, Arabic receipts, and right-to-left design. Each employee chooses their own language.
freePos.cta.subtitle	Sign up in 2 minutes, add your products, and make your first sale — free.
freePos.screenshot.caption	Live view — POS on web
freePos.screenshot.companionCaption	Live view — POS on mobile
freeOnlineStore.hero.subtitle	Create a free online store in minutes — your products, prices, and stock sync automatically with your shop's cashier. No commissions, no monthly fee, no coding.
freeOnlineStore.hero.trust	Free forever plan — no commission on your sales
freeOnlineStore.problem.painPoints.commissions.description	Some platforms take a cut of every order — the more you sell, the more you lose.
freeOnlineStore.problem.painPoints.deliveryChaos.description	Orders arrive by phone and chat with no system — addresses get lost and orders are missed.
freeOnlineStore.solution.points.oneInventory.description	Stock updates the moment you sell — in-store or online. No overselling.
freeOnlineStore.features.subtitle	Your free store comes complete — not a stripped-down demo.
freeOnlineStore.features.items.catalog.description	Photos, variants (size, color), prices, and categories — organized and searchable.
freeOnlineStore.posLink.items.orders.description	Online orders and shop sales in one screen — nothing gets missed.
freeOnlineStore.posLink.items.reports.description	See your whole business — shop plus online — in one daily report.
freeOnlineStore.comparison.rows.price.cashvio	0 — free forever
freeOnlineStore.faq.q4.answer	Yes — a real right-to-left Arabic storefront, English, or both together.
freeOnlineStore.faq.q8.answer	No. Add products with photos and prices and share your store link — that's it.
freeOnlineStore.cta.subtitle	Your products online in minutes — synced with a free cashier for your shop.
freeOnlineStore.screenshot.caption	Live view — product catalog on web
freeOnlineStore.screenshot.companionCaption	Live view — product catalog on mobile
orderManagement.hero.subtitle	Orders from your counter, your online store, and your phone all land in one list. See what needs preparing, what is out for delivery, and who still owes you money — then send the customer a WhatsApp update in one tap.
orderManagement.problem.subtitle	A notebook at the register, a WhatsApp chat, and a stack of delivery slips — that works until one busy Friday. Then orders slip through, and nobody knows what happened.
orderManagement.problem.items.unpaidForgotten.description	A customer pays half and promises the rest next week. Without a system that tracks due dates, that promise lives in someone's memory — and memories forget.
orderManagement.problem.items.noHistory.description	An order was cancelled, a discount was given, a payment was edited — by whom? When? Without an order history, every dispute turns into guesswork.
orderManagement.problem.items.manualReceipts.description	Writing receipts by hand or re-typing order details into WhatsApp wastes time at the busiest moment of the day — and looks unprofessional to customers.
orderManagement.features.subtitle	From the moment an order is created to the moment it is paid, delivered, and receipted — Cashvio records every step.
orderManagement.features.items.oneList.description	POS sales, online storefront orders, and manual orders your team enters — all in the same table with order number, customer, store, source, totals, and status.
orderManagement.features.items.orderDetails.description	Open any order to see its items, payments, refunds, notes, and delivery address — plus a timeline of every status change and action taken on the order.
orderManagement.features.items.overdue.description	One page lists every scheduled payment — on time, due soon, or overdue. Follow up before debts age, and update due dates when customers need more time.
