metadata.features.title	"المميزات — كاشير مجاني ومخزون ومتجر إلكتروني"
home.features.eyebrow	"رقم 01 — ما تحصل عليه"
home.features.lineValue	"مشمول — 0.00"
home.mobileApp.eyebrow	"رقم 04 — في جيبك"
home.mobileApp2.description	"أضف المنتجات، راجع الكميات، وعدّل الأسعار — كل ذلك من هاتفك."
home.ordersShowcase.description	"استقبل الطلبات من الكاشير أو المتجر الإلكتروني أو الهاتف أو واتساب، وتابعها حتى تصل للعميل — مع سجل كامل لكل خطوة."
home.analyticsShowcase.description	"اعرف أرباحك الحقيقية، وأفضل موظفيك، وأي قناة تجيب لك أكثر مبيعات — مع اقتراحات ذكية لتحسين تجارتك."
home.customerManagement.description	"كل عميل له ملف واحد فيه مشترياته ورصيده وزياراته — لتخدمه بشكل أفضل وتكافئ ولاءه."
home.productShowcase.eyebrow	"رقم 03 — شاهدها بنفسك"
home.ticker.lines[0]	"09:14 — 2× إسبريسو — 90 ج.م — مدفوع"
home.ticker.lines[1]	"09:31 — تم شحن الطلب #1042 — القاهرة"
home.ticker.lines[2]	"09:48 — تنبيه مخزون — تيشيرت أزرق (M) — متبقي 3"
home.ticker.lines[3]	"10:15 — عميل جديد — سارة أ."
home.ticker.lines[4]	"10:40 — 1× محفظة جلد — 450 ج.م — مدفوع"
home.ticker.lines[5]	"11:05 — بدء وردية — كاشير 2"
home.ticker.lines[6]	"11:22 — تمت الموافقة على الاسترداد — طلب #0997"
home.ticker.lines[7]	"11:48 — 3× دفتر ملاحظات — 120 ج.م — مدفوع"
home.ticker.lines[8]	"12:03 — تحويل مخزون — من فرع وسط البلد إلى فرع المول"
home.ticker.lines[9]	"12:30 — تحقق هدف اليوم — 5,000 ج.م"
home.endOfDay.eyebrow	"رقم 05 — نهاية اليوم"
home.faq.eyebrow	"رقم 07 — أسئلة"
home.faq.q2.answer	"نعم — كاشير مجاني كامل: شاشة بيع وصندوق نقد وورديات وإيصالات بالعربية والإنجليزية."
home.faq.q4.answer	"لا — سجّل بالبريد الإلكتروني ورقم الهاتف فقط."
home.faq.q6.answer	"نعم — استمر في البيع بدون إنترنت وتتزامن البيانات عند عودته."
home.testimonials.eyebrow	"رقم 06 — من على الكاونتر"
home.testimonials.subtitle	"من الكاشير إلى المتجر الإلكتروني — الأجزاء اللي بياخدها من يوم الشغل."
home.testimonials.items.t1.quote	"بطّلت أكتب الطلبات في كشكول. الكاشير والمخزون ومين مديون بكام — كله في شاشة واحدة."
home.testimonials.items.t1.author	"صاحب ميني ماركت — القاهرة"
home.testimonials.items.t2.author	"صاحبة بوتيك ملابس — الإسكندرية"
home.testimonials.items.t3.quote	"العربي هنا مش ترجمة متلزّقة. الإيصالات والشاشات والمتجر — كل حاجة مكتوبة صح."
home.testimonials.items.t3.author	"صاحب كافيه — الجيزة"
pricing.faq.q5.answer	"نعم. الباقة المجانية للأبد تشمل كاشيراً كاملاً — شاشة بيع وصندوق نقد وورديات وإيصالات، بدون بطاقة ائتمان. راجع صفحة الكاشير المجاني للتفاصيل."
pricing.faq.q6.answer	"نعم. أنشئ متجراً إلكترونياً مجانياً متزامناً مع كاشيرك — بدون عمولة وبدون اشتراك شهري في الباقة المجانية. راجع صفحة المتجر الإلكتروني المجاني للتفاصيل."
pricing.matrix.subtitle	"الخطة المجانية نظام متكامل. الخطط المدفوعة ترفع الحدود مع نموّك — والأرقام الدقيقة على كروت الخطط بالأعلى."
pricing.whatsapp.subtitle	"راسلنا على واتساب — هنساعدك تختار الخطة المناسبة في دقائق."
alsoFree.subtitle	"ابدأ بكاشير مجاني ومتجر إلكتروني مجاني — بدون بطاقة ائتمان."
contact.info.whatsappDescription	"أسرع طريقة للوصول إلينا — أسئلة، عرض للمنتج، أو مساعدة في الإعداد."
privacy.sections.scope.content	"تُشغَّل الخدمات بواسطة شركة كاشفيو تكنولوجيز («كاشفيو» أو «نحن»)، ومقرها القاهرة، مصر.\n\nنعمل بصفتين مختلفتين: بالنسبة للمعلومات الشخصية الخاصة بالتجار وموظفيهم وزوار مواقعنا، فنحن «المتحكم في البيانات» — أي أننا من يحدد كيفية معالجة هذه المعلومات وأغراضها. أما المعلومات التي يسجلها التجار عن عملائهم (مثل ملفات العملاء وسجل مشترياتهم)، فنعمل فيها بصفة «معالج بيانات» — نعالجها فقط نيابة عن التاجر ووفق تعليماته، كما هو موضح في قسم «بيانات عملائك» أدناه."
privacy.sections.collection.items[0]	"معلومات الحساب — اسمك وبريدك الإلكتروني ورقم هاتفك وكلمة المرور (تُخزَّن بصيغة مشفرة أحادية الاتجاه فقط) ولغتك المفضلة وإعدادات ملفك الشخصي."
privacy.sections.collection.items[1]	"معلومات النشاط التجاري — اسم نشاطك وأسماء وعناوين فروعك ونوع النشاط والبيانات الضريبية وبيانات السجل التجاري والشعار وعناصر الهوية البصرية."
privacy.sections.collection.items[2]	"بيانات المعاملات والتشغيل — الطلبات والفواتير والإيصالات والمرتجعات وطرق الدفع المستخدمة وكتالوج المنتجات وحركات المخزون وسجلات الورديات والتقارير الناتجة عنها."
privacy.sections.collection.items[3]	"معلومات الفوترة — باقة الاشتراك التي تختارها وسجل الفواتير. تُعالج مدفوعات البطاقات عبر مزودي دفع مرخصين، ولا نخزن أرقام البطاقات الكاملة على خوادمنا أبداً."
privacy.sections.collection.items[4]	"سجلات العملاء التي تنشئها — المعلومات التي تدخلها عن عملائك في المنصة، مثل أسمائهم وبيانات التواصل وسجل المشتريات والأرصدة ورصيد المتجر."
privacy.sections.collection.items[5]	"بيانات الجهاز والاستخدام — عنوان IP ونوع المتصفح والجهاز ونظام التشغيل والصفحات التي تزورها والميزات المستخدمة وروابط الإحالة والطوابع الزمنية وبيانات تشخيص الأعطال."
privacy.sections.collection.items[6]	"ملفات تعريف الارتباط والتقنيات المشابهة — كما هو موضح في قسم «ملفات تعريف الارتباط والتحليلات» أدناه."
privacy.sections.collection.items[7]	"المراسلات — الرسائل وطلبات الدعم والملاحظات وتسجيلات محادثات الدعم حيثما يسمح القانون."
privacy.sections.usage.items[0]	"تقديم الخدمات وتشغيلها — إنشاء حسابك وتشغيل نقاط البيع والمتجر الإلكتروني ومعالجة الطلبات ومزامنة بياناتك عبر الأجهزة."
privacy.sections.usage.items[1]	"تأمين المنصة — التحقق من تسجيلات الدخول وتطبيق الصلاحيات واكتشاف ومنع الاحتيال وإساءة الاستخدام والوصول غير المصرح به."
privacy.sections.usage.items[2]	"دعمك — الرد على استفساراتك وحل المشكلات وإخطارك بأي حوادث تؤثر على حسابك."
privacy.sections.usage.items[3]	"التحسين والتطوير — تحليل أنماط الاستخدام المجمعة لإصلاح المشكلات وتحسين الأداء وبناء ميزات جديدة."
privacy.sections.usage.items[4]	"التواصل — إرسال إشعارات الخدمة وتنبيهات الأمان وإشعارات الفوترة، و(بموافقتك أو حيثما يُسمح) أخبار المنتج والعروض التي يمكنك إلغاء الاشتراك فيها في أي وقت."
privacy.sections.usage.items[5]	"الامتثال للقانون — الوفاء بالتزاماتنا المحاسبية والضريبية والقانونية الأخرى والاستجابة للطلبات القانونية من الجهات المختصة."
privacy.sections.usage.footer	"لا نستخدم بيانات نشاطك التجاري — مثل أرقام مبيعاتك أو هوامش أرباحك أو قوائم عملائك — لمنافستك، ولا نبيعها لأطراف ثالثة أبداً."
privacy.sections.customerData.content	"عندما تسجل معلومات عن عملائك في كاشفيو — مثل ملف عميل أو سجل طلبات أو رصيد متجر — فأنت «المتحكم» في هذه المعلومات ونحن نعالجها نيابة عنك حصراً.\n\nلا نعالج هذه البيانات إلا لتقديم الخدمات لك، ولا نستخدمها أبداً لأغراضنا التسويقية، ولا نتواصل مع عملائك إلا بقدر ما يلزم لتشغيل ميزات تستخدمها بنفسك (مثل إرسال إيصال إلكتروني بناءً على طلبك). وتقع عليك مسؤولية جمع بيانات عملائك بشكل قانوني وإعلامهم بكيفية استخدامها والاستجابة لطلباتهم المتعلقة بالخصوصية. وإذا تواصل معنا أحد عملائك مباشرة بشأن بيانات تتحكم أنت فيها، فسنحيله إليك ونقدم لك المساعدة المعقولة."
privacy.sections.sharing.items[0]	"مزودو الخدمات — الشركات التي تساعدنا في تشغيل المنصة، مثل الاستضافة السحابية ومعالجة المدفوعات وإرسال البريد الإلكتروني والرسائل النصية والإشعارات والتحليلات. ولا يجوز لهم استخدام البيانات إلا لتقديم خدمتهم لنا، وهم ملزمون تعاقدياً بالسرية وحماية البيانات."
privacy.sections.sharing.items[1]	"مزودو الدفع — عند إجرائك أو إجراء عملائك لعملية دفع، تُشارك تفاصيل المعاملة مع مزود الدفع المرخص الذي يعالجها."
privacy.sections.sharing.items[2]	"المتطلبات القانونية — عندما يقتضي ذلك قانون معمول به أو لائحة أو إجراء قانوني أو طلب حكومي واجب النفاذ، وفي الحدود المطلوبة فقط."
privacy.sections.sharing.items[3]	"حماية الحقوق والسلامة — لإنفاذ شروطنا أو التحقيق في الاحتيال أو المشكلات الأمنية أو حماية حقوق وممتلكات وسلامة كاشفيو أو تجارنا أو الجمهور."
privacy.sections.sharing.items[4]	"التحولات التجارية — إذا دخلت كاشفيو في عملية اندماج أو استحواذ أو بيع أصول، فقد تُنقل معلوماتك ضمن تلك الصفقة، وسنخطرك قبل أن تخضع بياناتك لسياسة خصوصية مختلفة."
privacy.sections.sharing.items[5]	"البيانات المجمعة أو مجهولة الهوية — قد نشارك إحصاءات لا يمكن بشكل معقول استخدامها للتعرف عليك أو على عملائك."
privacy.sections.security.items[1]	"تخزين كلمات المرور بتشفير أحادي الاتجاه قوي — لا يمكننا قراءة كلمة مرورك أبداً."
privacy.sections.rights.items[0]	"الوصول — طلب نسخة من المعلومات الشخصية التي نحتفظ بها عنك."
privacy.sections.rights.items[1]	"التصحيح — طلب تصحيح المعلومات غير الدقيقة أو غير المكتملة."
privacy.sections.rights.items[2]	"الحذف — طلب حذف معلوماتك الشخصية، مع مراعاة متطلبات الاحتفاظ القانونية."
privacy.sections.rights.items[3]	"قابلية النقل — الحصول على بياناتك بصيغة منظمة وشائعة الاستخدام وقابلة للقراءة آلياً."
privacy.sections.rights.items[4]	"الاعتراض والتقييد — الاعتراض على معالجة معينة أو طلب تقييدها."
privacy.sections.rights.items[5]	"سحب الموافقة — حيثما تستند المعالجة إلى الموافقة، يمكنك سحبها في أي وقت دون المساس بالمعالجة السابقة."
privacy.sections.rights.items[6]	"الشكوى — تقديم شكوى إلى جهة حماية البيانات المختصة في بلدك."
terms.sections.eligibility.content	"لاستخدام الخدمات يجب أن يكون عمرك 18 عاماً على الأقل، وأن تكون أهلاً لإبرام عقد ملزم، وأن تستخدم الخدمات لأغراض تجارية. وعند التسجيل، فإنك توافق على تقديم معلومات دقيقة وحديثة وكاملة والحفاظ على تحديثها. ويجوز لنا رفض التسجيل أو استرداد أسماء المستخدمين أو النطاقات الفرعية عند الضرورة المعقولة — مثلاً إذا كانت المعلومات زائفة أو تنتهك حقوق الآخرين أو كانت محجوزة لاستخدام المنصة."
terms.sections.services.items[0]	"تغيير الباقة المجانية — إضافة أو تغيير أو تقييد أو إزالة أي ميزة أو سعة مشمولة في الباقة المجانية في أي وقت، وفقاً لتقديرنا المطلق ودون أي تعويض."
terms.sections.services.items[1]	"التعليق المؤقت للميزات في أي باقة — تعليق أو إيقاف أو تقييد أو تعطيل أي ميزة في أي باقة، مجانية كانت أو مدفوعة، عند الضرورة المعقولة — مثلاً لمعالجة مشكلات تقنية أو إجراء أعمال صيانة أو طرح تحسينات وترقيات أو حماية أمن المنصة واستقرارها. وسنعمل على إعادة إتاحة الميزة في أسرع وقت، وسنعلن عن الأعمال المخططة مسبقاً كلما كان ذلك ممكناً عملياً."
terms.sections.services.items[2]	"إضافة ميزات مجانية — إضافة ميزات أو سعات جديدة إلى الباقات المجانية أو المدفوعة القائمة دون رسوم إضافية. ولا تغيّر هذه الإضافات رسومك ولا تمنحك حقاً في استرداد، وقد يجري لاحقاً تعديلها أو نقلها إلى فئة باقة مختلفة أو سحبها."
terms.sections.accounts.items[0]	"تستخدم كلمات مرور قوية وتحافظ على سرية بيانات الدخول — ولا تشارك الحسابات بين الأفراد أبداً."
terms.sections.yourData.content	"أنت تملك بيانات نشاطك التجاري — منتجاتك وطلباتك وسجلات عملائك وتقاريرك وأي محتوى تنشئه أو ترفعه في الخدمات («بيانات التاجر»). وتمنحنا ترخيصاً محدوداً وغير حصري لاستضافة بيانات التاجر ومعالجتها ونقلها ونسخها احتياطياً وعرضها فقط بالقدر اللازم لتقديم الخدمات وحمايتها.\n\nنحتفظ بنسخ احتياطية منتظمة ونطبق تدابير الأمان الموضحة في سياسة الخصوصية. ويمكنك تصدير بياناتك عبر الأدوات التي نوفرها. وبعد إنهاء حسابك، سنتيح لك تصدير بيانات التاجر لمدة 30 يوماً على الأقل، وبعدها يجوز لنا حذفها، باستثناء ما يوجب القانون الاحتفاظ به."
terms.sections.ip.content	"الخدمات — بما فيها جميع البرمجيات والتصميمات والعلامات التجارية والشعارات والوثائق — مملوكة لكاشفيو أو لمرخصيها ومحمية بقوانين الملكية الفكرية. ولا تمنحك هذه الشروط أي حقوق في الخدمات سوى الحق المحدود في استخدامها وفقاً لهذه الشروط.\n\nوإذا أرسلت إلينا ملاحظات أو أفكاراً أو اقتراحات، فإنك تمنحنا ترخيصاً دائماً وغير قابل للإلغاء ومعفى من الرسوم لاستخدامها دون قيد أو مقابل — فقد نستخدم ملاحظاتك لتحسين الخدمات للجميع."
terms.sections.availability.content	"نعمل بجد للحفاظ على توفر الخدمات على مدار الساعة ونصمم بنيتنا التحتية لتحقيق أعلى درجات التوفر. ومع ذلك، قد تنقطع الخدمات أحياناً — لأعمال صيانة مجدولة (سنسعى للإعلان عنها مسبقاً) أو إصلاحات طارئة أو لأسباب خارجة عن سيطرتنا المعقولة مثل أعطال مزودي الاستضافة أو الاتصالات أو الطاقة.\n\nنقدم الدعم عبر القنوات المنشورة على موقعنا. ولا نضمن تشغيلاً متواصلاً أو خالياً من الأخطاء، وننصحك بالحفاظ على ممارسات عمل سليمة (مثل مراجعة تقاريرك وتسوية معاملاتك) بشكل مستقل عن المنصة."
terms.sections.termination.content	"يمكنك التوقف عن استخدام الخدمات وإغلاق حسابك في أي وقت.\n\nويجوز لنا تعليق أو إنهاء وصولك إلى الخدمات إذا انتهكت هذه الشروط انتهاكاً جوهرياً، أو إذا شكّل استخدامك خطراً أمنياً أو تعرضاً قانونياً لنا أو لغيرنا، أو إذا اقتضى القانون ذلك، أو إذا ظل حسابك غير مسدد بعد إشعار معقول. وكلما كان ذلك ممكناً عملياً، سنخطرك ونمنحك فرصة لمعالجة المشكلة قبل الإنهاء.\n\nوعند الإنهاء: يتوقف حقك في استخدام الخدمات؛ وتظل الرسوم المستحقة واجبة السداد؛ وتسري مهلة تصدير البيانات الموضحة في قسم «بياناتك وملكيتها». وتظل الأقسام التي تقتضي طبيعتها البقاء بعد الإنهاء — بما فيها الملكية وإخلاء المسؤولية وحدود المسؤولية والقانون الواجب التطبيق — سارية المفعول."
features.subtitle	"من المنتجات والمخزون إلى الطلبات والدفع — كل شيء في نظام واحد سهل."
features.categories.capacity.description	"أضف فروعاً وموظفين وأجهزة كلما احتجت — بدون حدود تعيقك"
features.solutions.inventoryManagement.description	"تابع كمية كل منتج في كل فرع لحظة بلحظة، مع تنبيهات النفاد وأوامر الشراء — مجاناً للأبد."
features.solutions.freeOnlineStore.description	"أنشئ متجراً إلكترونياً مجانياً متزامناً مع محلك — بدون عمولة وبدون اشتراك شهري."
features.solutions.orderManagement.description	"كل طلب من الكاشير أو الموقع أو الهاتف في قائمة واحدة — بالحالات والدفعات وتحديثات واتساب."
features.solutions.customerManagement.description	"ملف لكل عميل فيه الزيارات والمصروف ورصيد المتجر والعناوين وسجل الطلبات — يبدأ برقم الهاتف فقط."
features.solutions.salesAnalytics.description	"الإيرادات والأرباح والأكثر مبيعاً وساعات الذروة وأداء الموظفين — مع توصيات بكلام واضح."
features.solutions.multiStoreManagement.description	"مخزون وأسعار وإعدادات مستقلة لكل فرع — بلوحة واحدة، وتحويل مخزون بين الفروع، وتقارير لكل فرع."
features.solutions.teamManagement.description	"حساب لكل موظف بالصلاحيات التي يحتاجها عمله فقط — وسجل واضح يوضح من فعل ماذا."
features.screenshot.caption	"عرض مباشر — لوحة التحكم"
features.sectionShots.modules.caption	"عرض مباشر — كتالوج المنتجات"
features.sectionShots.solutions.caption	"عرض مباشر — نقاط البيع على الويب"
features.sectionShots.solutions.companionCaption	"عرض مباشر — نقاط البيع على الجوال"
features.sectionShots.operations.caption	"عرض مباشر — المخزون على الويب"
features.sectionShots.operations.companionCaption	"عرض مباشر — المخزون على الجوال"
features.sectionShots.functional.caption	"عرض مباشر — التحليلات"
features.sectionShots.capacity.caption	"عرض مباشر — المتاجر"
couponsAndDiscounts.hero.subtitle	"أنشئ أكواد خصم بنسبة أو بمبلغ ثابت، وحدد عدد مرات الاستخدام ومدة العرض، ويتحقق النظام من الكود تلقائياً عند الدفع — في الكاشير وفي المتجر الإلكتروني."
couponsAndDiscounts.problem.items.abuse.description	"بدون حد لكل عميل، ينتشر الكود ويستخدمه الجميع بلا حساب — وأرباحك هي التي تدفع الثمن."
couponsAndDiscounts.features.subtitle	"نظام كوبونات كامل داخل نظامك نفسه — بدون أدوات خارجية وبدون جداول إكسل."
couponsAndDiscounts.features.items.usageLimits.description	"حدد كم مرة يمكن استخدام الكود إجمالاً، وكم مرة لكل عميل — حتى لا يتكرر استخدامه بلا حساب."
couponsAndDiscounts.features.items.minimumCart.description	"اشترط قيمة أدنى للطلب حتى ينطبق الخصم — مثلاً 15% خصم على الطلبات فوق 300. هكذا يشتري العميل أكثر."
couponsAndDiscounts.howItWorks.subtitle	"ثلاث خطوات بسيطة — بدون أي خبرة تقنية."
couponsAndDiscounts.omnichannel.subtitle	"نفس الكود يعمل في المحل وعلى الموقع — بدون إعداد منفصل لكل قناة."
couponsAndDiscounts.omnichannel.portal.description	"عندما يسجل فريقك طلبات الهاتف أو واتساب يدوياً، يمكنه إضافة كود الخصم على الطلب — بنفس شروط التحقق نفسها."
couponsAndDiscounts.strategies.items.loyalty.description	"كود خاص لعملائك الأوفياء يستخدمه كل عميل حتى 3 مرات — ليستمروا في العودة إليك."
couponsAndDiscounts.faq.items.q2.answer	"كل كوبون يخص فرعاً واحداً. لو أردت نفس العرض في كل فروعك، أنشئ كوبوناً بنفس الكود في كل فرع — وهكذا يكون لكل فرع حدوده وتحكمه المستقل."
couponsAndDiscounts.faq.items.q3.answer	"حدد عدد مرات الاستخدام لكل عميل (مثلاً مرة واحدة)، وحدد عدد مرات الاستخدام الإجمالي — وبهذا تتحكم بالضبط في انتشار الكود."
couponsAndDiscounts.faq.items.q4.answer	"حالياً كوبون واحد لكل طلب — حتى تبقى الخصومات تحت السيطرة وتحمي أرباحك."
couponsAndDiscounts.faq.items.q5.answer	"نعم. العميل يكتب الكود عند الدفع في الموقع، والكاشير يدخله عند تسجيل الطلب في المحل — وبنفس شروط التحقق في الحالتين."
couponsAndDiscounts.faq.items.q9.answer	"لا شيء — الطلبات القديمة تحتفظ ببيانات الخصم كاملة حتى بعد حذف الكوبون، فتبقى حساباتك دقيقة."
couponsAndDiscounts.faq.items.q10.answer	"نعم، الكوبونات متاحة في كل الباقات بما فيها الباقة المجانية للأبد — بدون أي ترقية."
couponsAndDiscounts.cta.description	"أنشئ أول كوبون في أقل من دقيقة. بدون بطاقة ائتمان — الكوبونات متاحة في الباقة المجانية."
couponsAndDiscounts.screenshot.caption	"عرض مباشر — أثر الخصومات في التحليلات"
arabicPos.hero.subtitle	"كاشفيو ليس نظاماً أجنبياً مترجماً. كل شاشة وكل إيصال وكل تقرير مصمم بالعربية من اليوم الأول — من اليمين لليسار كما يجب أن يكون."
arabicPos.solution.subtitle	"كل شاشة وكل زر وكل إيصال صُمم بالعربية من البداية. عندما تختار العربية، يتغير النظام كله — ليس النص فقط."
arabicPos.solution.points.mirroredInterface.description	"القوائم والجداول والنماذج والأزرار — كل شيء في مكانه الطبيعي للقارئ العربي، بدون أي خلل في الشاشة."
arabicPos.solution.points.mixedContent.description	"اسم منتج عربي بجانب كود إنجليزي، واسم عميل عربي مع بريد إلكتروني إنجليزي — كل شيء يظهر مرتباً وصحيحاً."
arabicPos.pos.features.checkout.description	"البحث عن المنتجات والباركود والكميات والدفع — كلها بالعربية ومن اليمين لليسار، فيخلص الموظف الطلب أسرع."
arabicPos.pos.features.offline.description	"استمر في البيع حتى لو انقطع الإنترنت، وعند عودته يرفع النظام كل العمليات تلقائياً — بدون فقدان أي بيعة."
arabicPos.pos.features.hardware.description	"اربط طابعات الإيصالات الحرارية واطبع إيصالات عربية واضحة — بدون حروف مشوهة أو ناقصة."
arabicPos.storefront.subtitle	"صفحات المنتجات والسلة والدفع ومتابعة الطلب — كلها بالعربية وبالاتجاه الصحيح الذي يتوقعه عملاؤك."
arabicPos.storefront.features.rtlShopping.description	"المنتجات والتصنيفات والفلاتر — كلها في مكانها الطبيعي للمتسوق العربي، فيشتري بثقة وراحة."
arabicPos.regions.subtitle	"سواء كنت تعمل في الرياض أو دبي أو القاهرة أو مدينة الكويت — كاشفيو يتكيف مع أنظمتك المحلية وتفضيلات الدفع وثقافة العمل."
arabicPos.faq.q1.answer	"كاشفيو مبني من الأساس للعربية: واجهة حقيقية من اليمين لليسار، وإيصالات بالعربية والإنجليزية معاً. على عكس الأنظمة العالمية التي تكتفي بترجمة النصوص، كل شاشة في كاشفيو — من الكاشير إلى التقارير — مصممة للعربية من اليوم الأول."
arabicPos.faq.q9.answer	"نعم. كاشير يعمل بالعربية وزميله بالإنجليزية على نفس النظام وفي نفس الوردية — بدون تسجيل خروج أو تغيير إعدادات."
arabicPos.screenshot.caption	"عرض مباشر — كاشير عربي على الويب"
arabicPos.screenshot.companionCaption	"عرض مباشر — كاشير عربي على الجوال"
omnichannelRetail.hero.subtitle	"بدل ما تدير نظاماً للمحل وآخر للموقع، كاشفيو يجمع كل شيء في مكان واحد: المخزون والطلبات والعملاء والتقارير — من المحل والموقع وواتساب وكل قنوات البيع."
omnichannelRetail.problem.painPoints.doubleEntry.description	"كل منتج جديد وكل تغيير سعر تكتبه مرة في الكاشير ومرة في الموقع — والأخطاء تزيد مع كل إدخال يدوي."
omnichannelRetail.solution.subtitle	"كاشفيو مبني من البداية كنظام واحد متكامل — محلك وموقعك يشتركان في نفس المخزون ونفس العملاء ونفس البيانات."
omnichannelRetail.solution.points.unifiedCustomer.description	"كل مشتريات العميل — من الكاشير أو الموقع أو واتساب — في ملف واحد فيه إنفاقه ورصيده وزياراته."
omnichannelRetail.solution.points.singleDashboard.description	"الطلبات والمخزون والتقارير والفريق والعملاء من كل القنوات في مكان واحد — بدون تنقل بين أنظمة."
omnichannelRetail.channels.items.physicalStore.description	"كاشير كامل مع الباركود وطباعة الإيصالات والورديات وصندوق النقد — لخدمة عملاء المحل بسرعة."
omnichannelRetail.channels.items.onlineStorefront.highlight	"متجر مدمج — بدون منصة خارجية"
omnichannelRetail.channels.items.manualOrders.description	"استقبل الطلبات بالهاتف وسجّلها مباشرة في النظام — ينقص المخزون ويرتبط الطلب بالعميل تلقائياً."
omnichannelRetail.inventory.features.multiStoreTransfers.description	"انقل بضاعة من فرع لآخر بطلب نقل مسجل — ينقص من الفرع المرسل ويزيد عند المستلم تلقائياً."
